personId,contentId,eventStrength
3609194402293569455,-3482581255202910790,1.0
3938645257702379823,-8159730897893673528,1.0
-8417075466521236595,-6783772548752091658,1.0
-8399605302938582500,-3716447017462787559,1.0
-1684566741313744330,3367026768872537336,1.0
-4028919343899978105,5669290109546991426,1.0
2736634093130347762,7850245260835292221,1.0
-4298177694576275482,5795281877636738272,1.5849625007211563
2290322765105220968,6412479507689487223,1.0
4297386640890689301,4084131344684656470,1.0
2290322765105220968,-307396946333196366,1.5849625007211563
-5527145562136413747,-2747266787901704910,1.0
-3500661007957156229,-5952729859839521828,1.0
-2979881261169775358,-7722236679806608274,1.0
-3374649409463162440,5109221095427625188,1.0
3829784524040647339,3801658304588389996,1.0
5914788199018040446,6989198691754522425,1.0
908938729693125261,7620697593009487898,2.0
-1387464358334758758,-8641360668993633978,1.5849625007211563
5851603283697446214,-271938775771328391,1.0
1895326251577378793,-2307670819023106063,2.584962500721156
909651159261292691,8461560915246826477,1.5849625007211563
-4319627801793650960,626121253933491500,1.0
-1352542225971050638,-559964548932224920,1.0
-4752363236131440693,3180828616327439381,1.5849625007211563
1493119272824026132,-6156751702010469220,1.0
-1032019229384696495,1318981494172475806,3.8073549220576037
-3381527457560577265,4105873627900556540,1.0
-7267769888748948232,-3224698078244963479,1.0
-830175562779396891,-2584174137395076448,1.0
-1684566741313744330,-4029704725707465084,3.5849625007211565
-2901997243166418276,1179017557429431126,1.5849625007211563
333499316725738941,-5784991738549272379,1.5849625007211563
-8446209748110806120,6997620589258672675,2.321928094887362
-8399605302938582500,6247175512001835023,1.0
-6734098108417569342,-5784991738549272379,1.0
8239286975497580612,2372438485070148864,1.5849625007211563
-468976912875459588,33271019004198538,1.0
-5380862725077089346,-2841995722250280583,1.0
4531872167062142431,3467834993860080188,1.0
4670267857749552625,-3751398885033121551,1.0
-5867382161915898777,7620697593009487898,1.0
-1863544689523892600,569574447134368517,3.0
4313045637915476309,-7876497512693688413,2.321928094887362
361614354650880527,-4561077506184283336,1.0
-4167415844282118439,-5044204125574973395,1.0
1895326251577378793,8215778202715904841,2.321928094887362
-3596626804281480007,8428597553954921991,2.584962500721156
-2626634673110551643,2625883933130361261,3.3219280948873626
1908339160857512799,-6584408680441477889,3.5849625007211565
3636910968448833585,2857117417189640073,2.0
-9001583565812478106,-4205346868684833897,2.321928094887362
-4082616567756603262,-2061825422128752184,1.0
-5868110530814399805,-1633984990770981161,1.5849625007211563
7392990465409599343,-1917202688559171732,1.0
7308881151087125462,1981046186743381313,2.807354922057604
2318971825420092215,2715453133655798791,1.0
-8051903121006324833,7933360486658437274,1.5849625007211563
301435144665447655,-2065362330475275026,1.0
-5292464982436362617,190366396794861214,1.5849625007211563
5030175185311671155,6997620589258672675,1.5849625007211563
-830175562779396891,8477804012624580461,1.0
3609194402293569455,-2323511129839590090,1.0
-7606731662737258050,-2976850014387537414,1.0
7020155836312304353,-4582216289807398227,1.0
-5230721907253934520,-7120369133608664808,1.0
2833428826475063405,-2752345899464432864,2.321928094887362
-1578287561410088674,1146823593746606655,1.0
-1443636648652872475,8844011188151156774,2.0
6226325986476849014,-6623581327558800021,1.0
-3359156065199608672,-1730766821655383888,1.5849625007211563
5660542693104786364,6244532954645766056,1.0
-1994081661238157543,3660989387512978561,1.0
-7990997793599977496,-3716447017462787559,1.0
-7531858294361854119,607684800821303652,1.5849625007211563
3609194402293569455,-5848755753905481990,1.0
-1578287561410088674,-8052188270551570124,1.0
8676130229735483748,865977730460714234,1.5849625007211563
-7990997793599977496,4716135688735489427,1.0
-6650942110522720391,6044362651232258738,1.0
8698209668239173600,4577451034168098359,1.0
7774613525190730745,7581009799961380333,1.0
2754566407772265068,2930191803881821526,4.0
-3333861147700991931,80435662809978246,1.0
-1443636648652872475,-229081393244987789,1.5849625007211563
-9120685872592674274,-6523871595334455509,1.0
-2050699458865052139,-1622037268576555626,1.5849625007211563
-6946355789336786528,7933360486658437274,2.0
-5639303336519418445,5473340184873040894,1.0
1377941589660984019,9042192299854648021,1.0
-7656701953949775820,-816352740763488513,1.0
-709287718034731589,-2855910583928922225,4.357552004618084
3609194402293569455,7534917347133949300,1.5849625007211563
-8436122021634018264,2817960273225808857,2.0
7392990465409599343,3091351089612339864,1.0
-6944500707172804068,-4700714777342103147,1.5849625007211563
7527226129639571966,-4133169317019898816,1.8073549220576042
-1602833675167376798,-8700857105739861338,2.807354922057604
-3275942195366018617,-5214997228209357198,1.5849625007211563
-3374649409463162440,3367026768872537336,1.0
-897315218084387621,4788854083489560153,1.5849625007211563
-8781306637602263252,6153710684104095269,1.0
-534549863526737439,-535029905294961110,1.0
8855523843512271162,-2097626568191556277,1.0
-3596626804281480007,-7623502978685822577,2.321928094887362
-5847938315205392554,8626761683919164251,2.0
-8781306637602263252,-6590064508646491981,1.5849625007211563
-3896187702811204367,7814856426770804213,1.0
2062670502532932588,-4600611344822394376,1.5849625007211563
-2626634673110551643,-8222568914848295086,1.0
-292717837486008213,-1633984990770981161,1.0
-3390049372067052505,4807721425375438334,1.0
-6944500707172804068,-7155846267321183721,2.0
801895594717772308,-2516726696296387544,1.8073549220576042
3568240335801676264,1356221992133852808,1.5849625007211563
8907499588729810535,6031953227014493100,1.0
3636910968448833585,-2440547657721869309,1.0
-4028919343899978105,5701873751630396950,1.0
-7210005267264599337,1854874463930846880,1.5849625007211563
-4298177694576275482,8605423472891112686,1.0
-3390049372067052505,-6566328419164841526,1.5849625007211563
9013651444868609421,7494490104520466117,1.0
1671960877913596679,-1999468346928419252,3.1699250014423126
8698209668239173600,882422233694040097,1.0
-8020832670974472349,-5684357871122991503,1.0
9137372837662939523,1348739322889189648,1.0
2111379813881770134,-2747266787901704910,1.0
-8020832670974472349,9175693555063886126,1.0
9038446466275805109,5937899505996968869,1.5849625007211563
3375381077362025672,2124033843135988844,2.0
-8399605302938582500,7507067965574797372,1.0
-8781306637602263252,-3040610224044779845,1.0
-2979881261169775358,-8948234514303933700,1.0
-1367575386492755119,5152069678055228801,1.5849625007211563
3609194402293569455,2998023988107018635,1.0
2416280733544962613,3064370296170038610,2.0
6354670420844196172,2081512200574495983,1.0
-108842214936804958,1929674614667189969,1.0
-1032019229384696495,-6980020268309524947,4.523561956057013
-2979537012405607453,6807042796917367736,1.0
2760160224512620259,4667058261084775379,1.0
6226325986476849014,-3920984929373505016,2.700439718141092
-4998109382710136565,-401664538366009049,1.5849625007211563
-1602833675167376798,-3513353119850106583,2.0
908938729693125261,3142843830268077617,1.0
1178253609400958886,7202701636941380671,1.5849625007211563
7392990465409599343,-3020916840917845519,1.0
4209517478660372522,-6654470039478316910,1.5849625007211563
-8860671864164757449,7065704533945771463,1.0
3609194402293569455,7823781477664935857,1.5849625007211563
-2615487427211911927,-4084394822880420062,2.321928094887362
6464364285286199002,7263689301643675785,1.0
-1032019229384696495,358192030955601318,1.0
3743121668889758064,-3850335246895770347,1.0
4918484843075254252,-2476100034099959458,1.0
8855523843512271162,-4233177915193302509,1.0
4142810830429822977,400125073514833994,2.0
-468976912875459588,-266262937631881148,1.0
6464364285286199002,-1038011342017850,1.0
-1836083230511905974,8779890754987103603,1.0
6464364285286199002,6097677219931837830,1.0
1120069409160402054,7934258011380835332,1.0
7392990465409599343,-8627051188605351707,1.0
3938645257702379823,-2440247087447106971,1.0
-2901997243166418276,2103268612948910635,2.321928094887362
-534549863526737439,-6514535768080218883,2.0
-8384598282283588647,-7876497512693688413,1.0
8556982196776583357,1348739322889189648,1.0
5127372011815639401,-6156751702010469220,2.0
-3374649409463162440,1738052593226421681,2.1699250014423126
3429602690322213789,-6380034335041404646,2.321928094887362
-8036997159314605196,7021353262177009708,1.5849625007211563
7555752854236030786,-6643406494673362190,1.0
8418615305660062636,-5002383425685129595,1.5849625007211563
301435144665447655,-5078536505040226358,1.5849625007211563
-8058416136173881530,-6642751159620064055,1.0
3609194402293569455,-6400214860728938634,1.0
3636910968448833585,-1257839697539084047,1.0
-6153009241569363021,8654585772743935612,1.0
-1443636648652872475,8742078838645536785,3.0874628412503395
-1380636509010496168,5533752987392101383,1.0
-2979537012405607453,2468005329717107277,1.0
4700771033189012708,-271938775771328391,2.321928094887362
-1032019229384696495,4695698299220703541,2.0
4568163094592867577,3149164017776669829,1.0
-1387464358334758758,-538948733779286129,1.0
2349820930531316047,6062146090334604102,2.0
2416280733544962613,1415230502586719648,2.321928094887362
1908339160857512799,1283472251609674486,2.321928094887362
-1479311724257856983,6576356408780336784,1.0
-5706287032724665714,-5464698687596686623,1.0
4313045637915476309,2708089973817733462,1.0
-1443636648652872475,-4187268503708157132,1.0
-2979881261169775358,-3864069617285644895,1.5849625007211563
7890134385692540512,4375556914674736641,1.0
-2820994773540913369,-133139342397538859,1.0
-1454518985966405190,-1297580205670251233,1.0
6971525809430309144,-8243488279185272615,1.0
6947583688031316012,8620166073102656574,1.5849625007211563
5469217996124449648,6989198691754522425,1.0
8615245686887763683,7572869304086387835,1.0
7022645187549453002,190366396794861214,1.0
548750006199694898,-4029704725707465084,1.0
-709287718034731589,8477804012624580461,1.0
3743262342828860520,-8627051188605351707,1.0
3302556033962996625,-4974757204495953627,1.0
-3596626804281480007,-8009527121402763559,1.5849625007211563
-7136511247670430002,2515874237935914763,1.0
-9009798162809551896,-2208293144000550811,1.0
-292717837486008213,2709926970543371965,1.0
-2511855597392146401,-2090760089450762391,1.0
-8020832670974472349,-1901742495252324928,1.0
-1160159014793528221,7508152369854945139,1.0
3938645257702379823,2259988589066296676,3.1699250014423126
-89388927330481219,-4024778022934140027,1.8073549220576042
-8020832670974472349,-8189315446782327370,1.5849625007211563
1163668879480930452,4259370161044254504,1.0
-5187161118553677346,-2402288292108892893,1.0
-4243635261966794110,2589533162305407436,1.0
-698695976631873505,2645380860642118790,1.5849625007211563
-8830250090736356260,5619251370090681244,1.0
3938645257702379823,-205193648629294862,1.5849625007211563
-2626634673110551643,-3410781775610270991,1.0
3168119895433884486,-4029704725707465084,2.0
-1352064057049251194,-5039153034159656707,1.0
-2626634673110551643,784265334245910688,1.5849625007211563
4417246933621591943,3689128258624052102,1.0
-1130272294246983140,-5848514031542611523,2.0
5220802546024427652,-5679427141235752819,1.0
-4996398807012464468,-5570129644089964821,1.0
-2626634673110551643,-7992053163122498177,1.0
5713241217519616260,3086800924266336392,1.0
